URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-kultur-ergebnis-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Kultur_Ergebnis_SNOMED,MII VS Mikrobio Kultur Ergebnis [SNOMED],"Ergebnis-ValueSet fuer die allgemeine und die spezifische Kultur: Wachstum, kein Wachstum oder ein nicht eindeutiges Ergebnis. Wie viel gewachsen ist, sagt nicht dieses ValueSet, sondern die Keimzahl. Ein unbestimmbares Ergebnis wird nicht ueber value[x], sondern ueber Observation.dataAbsentReason abgebildet.","StructureDefinition/mii-pr-mikrobio-spezifische-kultur,StructureDefinition/mii-pr-mikrobio-allgemeine-kultur","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-molekulare-diagnostik-einheiten-ucum,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Molekulare_Diagnostik_Einheiten_UCUM,MII VS Mikrobio Molekulare Diagnostik Einheiten [UCUM],"Einheiten-ValueSet für die molekulare Pathogenlast (UCUM): Konzentrationsangaben wie Kopien pro Milliliter.","StructureDefinition/mii-pr-mikrobio-molekulare-pathogenlast","UCUM"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-molekulare-pathogenlast-methode-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Molekulare_Pathogenlast_Methode_SNOMED,MII VS Mikrobio Molekulare Pathogenlast Methode [SNOMED],"Methoden-ValueSet für die molekulare Pathogenlast: Amplifikationsverfahren zur Quantifizierung von Erregernukleinsäure.","StructureDefinition/mii-pr-mikrobio-molekulare-pathogenlast","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-molekulare-pathogenlast-tests-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Molekulare_Pathogenlast_Tests_LOINC,MII VS Mikrobio Molekulare Pathogenlast Tests [LOINC],"Tests-ValueSet für die molekulare Pathogenlast: quantitative LOINC-Codes für die Nukleinsäurekonzentration eines Erregers.","StructureDefinition/mii-pr-mikrobio-molekulare-pathogenlast","LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-morphologie-ergebnis-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Morphologie_Ergebnis_SNOMED,MII VS Mikrobio Morphologie Ergebnis [SNOMED],"Ergebnis-ValueSet für die Mikroskopie: mikroskopisch beobachtete Morphologie ohne taxonomische Zuordnung, etwa grampositive Kokken in Haufen oder gramnegative Stäbchen.","StructureDefinition/mii-pr-mikrobio-mikroskopie","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-morphologie-methode-snomed,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Morphologie_Methode_SNOMED,MII VS Mikrobio Morphologie Methode [SNOMED],"Methoden-ValueSet für die Mikroskopie: mikroskopische Verfahren einschließlich der eingesetzten Färbetechnik.","StructureDefinition/mii-pr-mikrobio-mikroskopie","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-mrgn-klasse-loinc,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_MRGN_Klasse_LOINC,MII VS Mikrobio MRGN Klasse [LOINC],"Ergebnis-ValueSet für die MRGN-Klassifikation: 2MRGN, 3MRGN und 4MRGN nach RKI-Kategorisierung. Die negative Einstufung steht im modul­eigenen CodeSystem, da die LOINC-AnswerList sie nicht führt.","StructureDefinition/mii-pr-mikrobio-mrgn-klasse","Internal,LOINC"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-organismen-snomedct,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Organismen_SNOMEDCT,MII VS Mikrobio Organismen [SNOMED CT],"Organismen-ValueSet: die SNOMED-CT-Hierarchien, aus denen ein identifizierter Erreger stammen kann. Wird nicht direkt gebunden, sondern in die Ergebnis-ValueSets der Bestimmung eingebunden.","ValueSet/mii-vs-mikrobio-allgemeine-bestimmung-ergebnis-snomed","SCT"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzkategorie-status,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Resistenzkategorie_Status,MII VS Mikrobio Resistenzkategorie Status,"Untersuchungscodes fuer die Bewertung eines nachgewiesenen Erregers hinsichtlich einer definierten Resistenzkategorie.","StructureDefinition/mii-pr-mikrobio-resistenzkategorie-status","Internal"
https://www.medizininformatik-initiative.de/fhir/modul-mikrobio/ValueSet/mii-vs-mikrobio-resistenzkategorie-status-ergebnis,2027.0.0-alpha.6,active,,MII_VS_Mikrobio_Resistenzkategorie_Status_Ergebnis,MII VS Mikrobio Resistenzkategorie Status Ergebnis,"Ergebnis der Bewertung eines nachgewiesenen Erregers hinsichtlich der in Observation.code angegebenen Resistenzkategorie.","StructureDefinition/mii-pr-mikrobio-resistenzkategorie-status","SCT"
